"fire_id","range","status","range_km"
"0",0.0320573417614987,"valid",3.56862328489004
"1",0.0142469269477547,"valid",1.58596790782405
"4",0.00291503477493643,"valid",0.324501671145923
"5",0.0148417443983328,"valid",1.65218298642241
"6",0.301209960585064,"valid",33.5306928123293
"7",0.0289282090996365,"valid",3.22028823697154
"8",0.00327425950097709,"valid",0.36449056764877
"9",-0.0291652491164025,"extreme",-3.24667553163792
"10",0.00353463542161084,"valid",0.393475615133719
"14",-0.0069773780094704,"extreme",-0.776721720014245
"16",0.045039386617502,"valid",5.01378451826032
"17",0.00286728468997008,"valid",0.31918613168747
"18",0.0148836157010974,"valid",1.65684409984616
"19",0.0157130519664743,"valid",1.74917694490791
"20",0.0177893758344691,"valid",1.9803133178931
"21",0.0086715130693944,"valid",0.965312834884984
"22",0.00728362806600693,"valid",0.810813476307891
"24",0.0192127528263329,"valid",2.13876364462738
"26",0.00681758732872039,"valid",0.758933821433153
"29",0.150812112495242,"valid",16.7884043629703
"30",0.018051680522882,"valid",2.00951307580722
"31",0.00269499384367592,"valid",0.300006714678003
"32",0.00731460378520554,"valid",0.814261693369081
"33",0.016366405741066,"valid",1.82190828709546
"34",0.0108612124391824,"valid",1.20907016872978
"35",0.0720638637176967,"valid",8.02214930905399
"36",0.00275814269958737,"valid",0.307036445318066
"38",0.00223935547663351,"valid",0.249285051658843
"39",0.0139102770762017,"valid",1.54849204412277
"40",0.0192160476630824,"valid",2.13913042585433
"41",0.0428230796811937,"valid",4.76706523011049
"43",0.0105493586088239,"valid",1.17435460033428
"44",0.00296845263171801,"valid",0.330448146962849
"46",0.0274780989045368,"valid",3.05886197005303
"48",0.0397292612425471,"valid",4.42266136152034
"49",0.0174885377210688,"valid",1.94682401910937
"50",0.00321452044970989,"valid",0.357840416461705
"51",0.0171160265194686,"valid",1.90535607214725
"53",0.0175300747988695,"valid",1.95144792661016
"55",0.0238427838220733,"valid",2.6541786950732
"57",0.1659852527088,"valid",18.4774783315436
"58",0.00271263605669168,"valid",0.301970645830918
"59",0.00937087161469635,"valid",1.043165428148
"60",0.00315082320496715,"valid",0.350749639176943
"61",0.00546896710513385,"valid",0.6088054181435
"62",0.00525579943004791,"valid",0.585075592552934
"64",0.0233657296143581,"valid",2.60107302067035
"65",0.0252908151696556,"valid",2.81537354468607
"66",0.128820226976814,"valid",14.3402676670589
"68",0.00274218515920742,"valid",0.305260051922969
"69",0.0217781335082215,"valid",2.42434182213522
"70",0.0123360635476547,"valid",1.37325059412492
"71",0.0291960485777505,"valid",3.25010412767519
"72",0.0107708546729746,"valid",1.19901154219553
"73",0.166608616348089,"valid",18.5468711718692
"76",0.00336065519704547,"valid",0.374108136535101
"77",0.0124852253566031,"valid",1.38985528669705
"78",0.00312773297972571,"valid",0.348179235303066
"79",0.00299056799087656,"valid",0.332910028744378
"80",0.0196136789384593,"valid",2.18339473942929
"82",0.0175160659930694,"valid",1.94988846634849
"83",0.152470439281838,"valid",16.9730093008542
"84",-0.0241349979723826,"extreme",-2.68670797428564
"85",0.00775348888788498,"valid",0.863118382999356
"86",0.00175850316969084,"valid",0.195756572849984
"87",0.150426063713799,"valid",16.7454294126201
"88",0.0224823616394995,"valid",2.50273649770909
"89",0.0392789305964017,"valid",4.37253055399144
"90",0.0387925447035404,"valid",4.31838607639811
"91",0.032421362519387,"valid",3.60914607565817
"93",0.0101527023097881,"valid",1.13019882112561
"95",0.0182094503205221,"valid",2.02707600968052
"96",0.0037873875523155,"valid",0.421611982323762
"98",0.0131724692336855,"valid",1.46635927509386
"100",0.00336600769297675,"valid",0.374703976382172
"103",0.0177085627524622,"valid",1.97131720560409
"107",0.0275091546193094,"valid",3.06231909222152
"108",0.0189464300590483,"valid",2.10911659417325
"109",0.0136068172955284,"valid",1.51471090133822
"110",0.029908244964174,"valid",3.32938582941185
"111",0.0194941256144662,"valid",2.17008606340237
"112",0.0253858641113968,"valid",2.82595439288069
"113",0.0141269888732088,"valid",1.5726164013656
"114",0.0155578903271431,"valid",1.73190435121757
"118",0.0988064730551076,"valid",10.9991365804946
"119",0.0253529377402798,"valid",2.82228902924795
"131",0.0196264320103817,"valid",2.1848144113957
"132",0.0214239956496001,"valid",2.38491919571348
"142",-0.00165867809216633,"extreme",-0.184644045219956
